set|date|setID
Duel Terminal 1|2010-01-29|3371
Duel Terminal 2|2010-05-25|3372
Duel Terminal 3|2010-09-25|3373
Gold Series 3|2010-06-18|3411
Hidden Arsenal 2|2010-07-15|3424
Hidden Arsenal 3|2010-12-02|3425
Shonen Jump December 2010 subscription bonus|2010-12-01|3462
Legendary Collection|2010-10-01|3474
Structure Deck: Marik (TCG)|2010-10-15|3621
Machina Mayhem Structure Deck|2010-02-19|3622
Starstrike Blast|2010-11-11|3682
Yu-Gi-Oh! 5D's Tag Force 5 promotional cards|2010-10-26|3692
The Shining Darkness|2010-05-07|3708
Turbo Pack: Booster Two|2010-01-09|3710
Turbo Pack: Booster Three|2010-07-10|3711
Turbo Pack: Booster Four|2010-11-13|3712
Twilight Edition|2010-01-05|3717
Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia promotional cards|2010-02-23|3725
World Championship 2010 Card Pack|2010-08-14|3730
X-Saber Power-Up|2010-11-23|3740
Yu-Gi-Oh! Championship Series 2010 Prize Cards|2010-05-16|3756
Yu-Gi-Oh! 5D's Duel Transer promotional cards|2010-12-07|3761
Yu-Gi-Oh! GX Volume 4 promotional card|2010-01-05|3774
Yu-Gi-Oh! GX Volume 5 promotional card|2010-10-05|3775
Yu-Gi-Oh! R Volume 3 promotional card|2010-02-02|3782
Yu-Gi-Oh! R Volume 4 promotional card|2010-04-29|3784
Yu-Gi-Oh! R Volume 5 promotional card|2010-06-02|3785
Ultimate Edition|2010-01-05|4933
Starter Deck: Yu-Gi-Oh! 5D's 2009|2009-06-09|3243
Ancient Prophecy|2009-09-01|3249
Champion Pack: Game Eight|2009-01-05|3286
Crimson Crisis|2009-03-03|3287
Collectible Tins 2009 Wave 1|2009-08-18|3294
Duel Disk - Yusei Version|2009-11-01|3315
Duelist League 2010 participation cards|2009-08-15|3322
Duelist League Demo 2010|2009-08-01|3337
Duelist Pack: Yusei|2009-02-24|3348
Duelist Pack: Yugi|2009-07-07|3362
Duel Terminal - Preview Wave 2|2009-06-20|3379
Gold Series 2009|2009-04-21|3410
Hidden Arsenal|2009-11-05|3423
Shonen Jump February 2009 subscription bonus|2009-02-01|3464
Duelist Pack Collection Tin 2009|2009-03-10|3578
Retro Pack 2|2009-07-28|3584
Spellcaster's Command Structure Deck|2009-03-31|3634
Warriors' Strike Structure Deck|2009-10-23|3638
Shonen Jump Championship 2009 Prize Card|2009-04-26|3650
Stardust Overdrive|2009-11-17|3657
Yu-Gi-Oh! 5D's Tag Force 4 promotional cards|2009-11-17|3691
Turbo Pack: Booster One|2009-08-15|3709
Yu-Gi-Oh! 5D's Wheelie Breakers Promotional Cards|2009-05-19|3721
Yu-Gi-Oh! 5D's Stardust Accelerator promotional cards|2009-05-19|3724
Yu-Gi-Oh! GX Volume 3 promotional card|2009-06-02|3773
Yu-Gi-Oh! R Volume 1 promotional card|2009-06-10|3783
Duelist League Series 1 participation cards|2009-08-01|4928
Starter Deck: Yu-Gi-Oh! 5D's|2008-08-05|3242
Champion Pack: Game Five|2008-01-08|3283
Champion Pack: Game Six|2008-05-12|3284
Champion Pack: Game Seven|2008-09-01|3285
Crossroads of Chaos|2008-11-18|3290
Collectible Tins 2008 Wave 1|2008-08-18|3293
Dark Legends|2008-11-21|3338
Duelist Pack: Jaden Yuki 3|2008-01-26|3346
Duelist Pack: Jesse Anderson|2008-01-26|3347
Duelist Pack Collection Tin 2008|2008-03-11|3357
Duel Terminal - Preview Wave 1|2008-08-04|3380
Gold Series|2008-04-02|3409
Yu-Gi-Oh! GX Tag Force 3 promotional cards|2008-11-28|3419
Hobby League 6 participation card A|2008-01-21|3435
Hobby League 7 participation card A|2008-01-01|3436
Limited Edition 1|2008-01-16|3465
Light of Destruction|2008-05-13|3501
Premium Pack 2 (TCG)|2008-07-31|3566
Phantom Darkness|2008-02-13|3573
Retro Pack|2008-07-08|3583
The Dark Emperor Structure Deck|2008-04-02|3610
Zombie World Structure Deck|2008-10-21|3641
Shonen Jump Championship 2008 Prize Card|2008-03-08|3651
The Duelist Genesis|2008-09-02|3689
Anniversary Pack|2008-12-08|3748
Yu-Gi-Oh! GX Volume 2 promotional card|2008-11-04|3772
Champion Pack: Game Two|2007-02-06|3280
Champion Pack: Game Three|2007-05-15|3281
Champion Pack: Game Four|2007-09-06|3282
Collectible Tins 2007 Wave 1|2007-08-29|3292
Duelist Pack: Jaden Yuki 2|2007-02-07|3343
Duelist Pack: Zane Truesdale|2007-03-07|3344
Duelist Pack: Aster Phoenix|2007-02-07|3345
Duelist Pack: Special Edition|2007-03-09|3359
Dark Revelation Volume 4|2007-11-14|3363
Yu-Gi-Oh! Elemental Hero Collection 1|2007-11-13|3388
Yu-Gi-Oh! Elemental Hero Collection 2|2007-11-13|3389
Force of the Breaker|2007-05-16|3403
Gladiator's Assault|2007-11-14|3408
Yu-Gi-Oh! GX Spirit Caller promotional cards|2007-01-02|3416
Yu-Gi-Oh! GX Tag Force 2 promotional cards|2007-09-18|3417
Yu-Gi-Oh! GX Tag Force Evolution promotional cards|2007-12-07|3418
GX Next Generation|2007-11-03|3421
Hobby League 4 participation card A|2007-01-01|3433
Hobby League 5 participation card A|2007-01-01|3434
Shonen Jump 2007 subscription bonus|2007-07-15|3466
Light and Darkness Power Pack|2007-11-14|3486
Premium Pack (TCG)|2007-07-26|3565
Pharaoh Tour 2007 promotional cards|2007-10-13|3571
Structure Deck: Machine Re-Volt|2007-01-17|3596
Rise of the Dragon Lords Structure Deck|2007-10-24|3630
Shonen Jump Championship 2007 Prize Card A|2007-01-27|3652
Strike of Neos|2007-02-28|3683
Tactical Evolution|2007-08-15|3688
Yu-Gi-Oh! World Championship 2007 promotional cards|2007-03-20|3722
